Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E0,25/04/17,Chelsea,Southampton,,,,,,,1.45,4.6,8.5,1.42,4.5,8,1.45,4.4,7.2,1.4,4.33,7.5,1.44,4.72,8.66,1.44,4.33,8,1.45,4.6,8,43,1.5,1.44,4.75,4.56,9,8.02,41,1.85,1.78,2.15,2.04,21,-1.5,2.44,2.32,1.67,1.64
E0,26/04/17,Arsenal,Leicester,,,,,,,1.6,4.5,5.75,1.57,4.33,5.5,1.6,4.2,5.2,1.55,4.33,5.25,1.61,4.54,5.6,1.57,4.2,5.5,1.6,4.5,5.5,42,1.64,1.6,4.55,4.35,6,5.38,34,1.51,1.45,2.8,2.71,22,-1,2.05,1.98,1.95,1.89
E0,26/04/17,Crystal Palace,Tottenham,,,,,,,5.5,4.2,1.65,5.25,4.1,1.62,4.7,3.9,1.7,5,4,1.62,5.68,4.22,1.65,5.5,3.6,1.67,5.5,4.2,1.65,42,5.8,5.41,4.25,4.07,1.7,1.64,40,1.67,1.62,2.4,2.28,21,1,1.84,1.79,2.17,2.08
E0,26/04/17,Middlesbrough,Sunderland,,,,,,,2.3,3.4,3.4,2.2,3.3,3.4,2.1,3.4,3.5,2.15,3.3,3.3,2.23,3.44,3.58,2.25,3.3,3.2,2.3,3.4,3.4,42,2.3,2.22,3.45,3.37,3.58,3.4,40,2.13,2.04,1.85,1.78,22,-0.25,1.97,1.92,2.01,1.96
E0,27/04/17,Man City,Man United,,,,,,,1.91,3.75,4.2,1.87,3.75,4,1.9,3.5,4.1,1.85,3.5,4.2,1.89,3.77,4.42,1.85,3.75,4,1.93,3.6,4.3,42,1.94,1.88,3.8,3.67,4.5,4.24,41,1.88,1.8,2.08,2.01,22,-0.5,1.93,1.86,2.06,2.02
E1,25/04/17,Wolves,Huddersfield,,,,,,,3,3.4,2.5,2.95,3.2,2.4,2.9,3.15,2.4,2.8,3.2,2.5,3.09,3.35,2.51,2.9,3.2,2.5,3,3.4,2.5,43,3.09,2.95,3.4,3.23,2.55,2.46,41,2.28,2.15,1.75,1.68,19,0.25,1.84,1.77,2.14,2.09
E2,25/04/17,Walsall,Port Vale,,,,,,,2.25,3.6,3.3,2.15,3.5,3.1,2.15,3.25,3.05,2.3,3.3,3,2.21,3.58,3.41,2.2,3.3,3.25,2.2,3.6,3.25,43,2.35,2.19,3.6,3.38,3.41,3.18,41,2.1,1.98,1.86,1.79,22,-0.25,1.98,1.92,1.98,1.93
EC,25/04/17,Dover Athletic,Macclesfield,,,,,,,1.57,4,5.5,1.55,3.8,5,1.55,3.7,4.8,1.62,4,5.25,1.6,4.39,5.82,1.62,4,5,1.57,4.1,5.5,40,1.63,1.57,4.39,3.97,5.82,5.25,35,1.74,1.67,2.23,2.12,18,-1,2.06,2,1.88,1.83
EC,25/04/17,Maidstone,Lincoln,,,,,,,3.1,3.6,2.15,2.65,3.4,2.3,2.9,3.3,2.05,3,3.4,2.15,,,,3,3.5,2.25,3.1,3.6,2.2,37,3.1,3.03,3.6,3.45,2.3,2.17,32,1.74,1.69,2.17,2.09,16,0.25,2,1.93,1.94,1.88
I2,25/04/17,Ascoli,Avellino,,,,,,,2.15,3.1,3.6,2.2,3.1,3.5,2.2,2.8,3.3,2.15,3.2,3.3,2.29,3.08,3.79,2.25,3.2,3.1,2.2,3.2,3.5,41,2.29,2.18,3.25,3.08,3.79,3.44,38,2.13,2.02,1.83,1.75,19,-0.25,1.94,1.86,2.05,1.96
I2,25/04/17,Brescia,Ternana,,,,,,,2.1,3.1,3.75,2.25,3.1,3.4,2.2,2.8,3.3,2.15,3.2,3.2,2.32,3.03,3.78,2.25,3.2,3.1,2.2,3.2,3.5,43,2.32,2.19,3.2,3.07,3.78,3.4,41,2.11,1.99,1.85,1.77,19,-0.25,1.96,1.88,2.01,1.95
I2,25/04/17,Carpi,Trapani,,,,,,,1.91,3.3,4.2,1.95,3.2,4.25,1.9,3,4,2,3.1,3.8,2.08,3.07,4.57,1.91,3.25,4,2,3.13,4.3,41,2.08,1.97,3.3,3.1,4.57,4.1,38,2.34,2.17,1.72,1.65,19,-0.5,2.08,1.99,1.91,1.84
I2,25/04/17,Cesena,Benevento,,,,,,,1.95,3.3,4,1.91,3.3,4.2,1.9,3,4,1.95,3.2,3.75,2.05,3.27,4.33,2,3.2,3.75,2,3.25,4.2,41,2.05,1.96,3.32,3.21,4.4,3.96,34,2.13,2.03,1.85,1.75,21,-0.5,2.05,1.97,1.92,1.86
I2,25/04/17,Frosinone,Spezia,,,,,,,1.91,3.2,4.33,1.95,3.1,4.5,1.9,3,4,1.95,3.1,4,2,3.11,4.9,1.91,3.1,4.2,1.95,3.13,4.6,43,2.03,1.93,3.2,3.06,4.9,4.36,36,2.49,2.32,1.63,1.56,20,-0.5,2.03,1.96,1.94,1.88
I2,25/04/17,Perugia,Verona,,,,,,,2.45,3,3.1,2.55,3,3,2.4,2.8,3,2.45,3,2.9,2.61,2.93,3.33,2.5,3,2.9,2.5,3,3.2,41,2.61,2.48,3.05,2.93,3.33,3.04,35,2.5,2.32,1.61,1.56,19,-0.25,2.17,2.1,1.79,1.75
